ID,Name,Age,Profession,salary,Marriage_proposal_count
1,olivia,23.0,Teacher,184518,0
2,sophia   ,20.0,      Boxer,119572,2
3,jake,38.0,Scientist,174897,1
4,Rocky,56.0,Chef,117920,2
4,Rocky,56.0,Chef,117920,1
4,Rocky,56.0,Chef,117920,3
4,Rocky,56.0,Chef,117920,11
4,Rocky,56.0,Chef,117920,2
4,Rocky,56.0,Chef,117920,2
4,Rocky,56.0,Chef,117920,3
11,Rocky,,Doctor,75543,5
12,Jake,,Artist,174780,5
13,Olivia,22.0,Comedian,102063,3
14,John,46.0,Artist,43078,12
15,Jake,40.0,Chef,171553,3
16,Sherlock,30.0,      Boxer,57774,0
17,Jake,46.0,Artist,135907,0
18,Jake,53.0,Software Engineer,127117,1
19,Rocky,25.0,Comedian,181312,5
20,Sherlock,40.0,Detective,118998,1
21,Sherlock,40.0,Detective,118998,13
22,John,41.0,Scientist,175925,0
23,John,41.0,Scientist,175925,4
24,Sherlock,42.0,      Boxer,92995,2
25,Olivia,60.0,Detective,182185,0
26,Olivia,53.0,Detective,194971,3
27,Alice,48.0,Pilot,99949,4
28,Sherlock,55.0,Scientist,107130,8
29,Alice,21.0,Chef,84792,3
30,Alice,21.0,Chef,84792,3
31,Alice,30.0,Teacher,77599,1
32,Olivia,30.0,Doctor,187932,1
33,Mr. Bean,27.0,Artist,102476,0
34,Olivia,45.0,Comedian,130452,4
35,Sherlock,46.0,Chef,84917,7
36,Mr. Bean,44.0,Comedian,116715,3
37,Rocky,57.0,Teacher,107725,2
38,Mr. Bean,32.0,Scientist,129299,2
39,John,27.0,Software Engineer,118379,0
40,Olivia,60.0,Software Engineer,32286,1
41,Alice,52.0,Chef,46535,4
42,Rocky,39.0,Doctor,39660,7
43,Sherlock,26.0,Chef,118996,5
44,Sophia,51.0,Teacher,172273,2
45,Olivia,51.0,Doctor,89479,0
46,Liam,,Doctor,84583,0
47,Mr. Bean,,Artist,190559,5
48,Sherlock,48.0,Pilot,113220,5
49,Sherlock,38.0,Pilot,57170,10
50,Liam,59.0,Pilot,37285,21
51,Liam,42.0,Pilot,105830,4
52,Jake,53.0,Teacher,141227,0
53,Jake,27.0,Pilot,118790,4
54,Sophia,34.0,Detective,53088,0
55,Sherlock,47.0,Comedian,79272,4
56,Mr. Bean,30.0,      Boxer,59720,9
57,Emma,22.0,Doctor,41428,2
58,Alice,30.0,Chef,49052,1
59,Mr. Bean,41.0,Pilot,46462,4
60,John,36.0,Scientist,155941,2
61,Sherlock,37.0,      Boxer,106436,4
62,Emma,21.0,Software Engineer,167137,3
63,Jake,40.0,Chef,40545,5
64,Alice,60.0,Scientist,87383,3
65,Mr. Bean,49.0,      Boxer,178208,3
66,Emma,57.0,Pilot,199317,1
67,Olivia,33.0,Chef,169723,1
68,Mr. Bean,27.0,Teacher,115637,1
69,Sherlock,28.0,Pilot,185564,0
70,Emma,50.0,      Boxer,166908,14
71,Jake,40.0,      Boxer,188182,5
72,Emma,,Pilot,49986,3
73,Sophia,,Artist,86741,1
74,Rocky,,Software Engineer,159260,0
75,Sherlock,,Detective,165463,0
76,Alice,60.0,Doctor,193629,3
77,Emma,28.0,Software Engineer,111669,7
78,Alice,48.0,Doctor,157563,3
79,Olivia,36.0,Comedian,120343,2
80,Mr. Bean,53.0,Detective,59387,2
81,Emma,38.0,Artist,125743,0
82,Jake,21.0,Artist,99953,2
83,Sophia,57.0,Software Engineer,170685,2
84,John,34.0,Teacher,164971,13
85,Olivia,20.0,Detective,51499,1
86,Liam,58.0,Detective,172881,4
87,Alice,34.0,Pilot,174506,1
88,Jake,31.0,Pilot,113415,1
89,Sophia,26.0,Artist,61054,3
90,John,52.0,Comedian,189517,2
91,Rocky,43.0,Software Engineer,30407,10
92,Mr. Bean,29.0,Artist,125396,4
93,Sherlock,44.0,Chef,82944,5
94,Jake,52.0,Chef,162337,1
95,John,42.0,Pilot,51875,0
96,Emma,31.0,Scientist,191091,5
97,Sherlock,57.0,Teacher,119001,2
98,Olivia,50.0,Comedian,59062,10
99,Sherlock,26.0,Pilot,128122,5
100,Emma,48.0,Chef,87682,26
101,Olivia,60.0,Teacher,163578,3
102,Alice,34.0,Scientist,74337,3
103,John,56.0,      Boxer,182001,5
104,Olivia,33.0,Pilot,85594,0
105,Emma,43.0,Teacher,70983,8
106,Mr. Bean,50.0,Software Engineer,170907,1
107,Sherlock,50.0,Software Engineer,117896,4
108,Emma,39.0,      Boxer,88909,0
109,Rocky,46.0,Scientist,109541,1
110,Sherlock,42.0,Artist,115753,1
111,John,44.0,Scientist,165346,0
112,Olivia,45.0,Scientist,154769,9
113,Rocky,58.0,Doctor,52533,2
114,John,51.0,Chef,190384,1
115,Olivia,53.0,Comedian,42748,0
116,Alice,47.0,Scientist,81977,1
117,Mr. Bean,59.0,Software Engineer,117660,3
118,Olivia,25.0,Scientist,198095,0
119,Rocky,42.0,Chef,134291,8
120,Emma,59.0,Artist,182787,0
121,Mr. Bean,43.0,Chef,34630,2
122,Emma,56.0,Pilot,61786,1
123,Mr. Bean,54.0,Artist,122176,3
124,Alice,22.0,Software Engineer,138661,1
125,Olivia,39.0,Artist,124923,4
126,Mr. Bean,42.0,Comedian,52608,8
127,John,37.0,Scientist,58088,4
128,Jake,40.0,      Boxer,44665,1
129,Sherlock,41.0,Chef,35745,4
130,Sherlock,29.0,      Boxer,39114,3
131,Mr. Bean,26.0,Artist,145227,4
132,Emma,59.0,Teacher,152303,1
133,Rocky,31.0,Doctor,198978,8
134,John,39.0,      Boxer,114065,4
135,Emma,60.0,Detective,84536,2
136,Alice,20.0,Detective,121478,1
137,Olivia,23.0,Comedian,32354,1
138,Emma,40.0,Scientist,196516,5
139,Olivia,54.0,Comedian,81038,3
140,Sophia,36.0,Comedian,127003,11
141,John,46.0,Software Engineer,61653,2
142,Sherlock,28.0,Software Engineer,145270,2
143,Olivia,53.0,Detective,46027,4
144,Liam,46.0,      Boxer,134080,0
145,Emma,54.0,Scientist,139396,1
146,Liam,33.0,Detective,169802,5
147,Olivia,38.0,Detective,119091,15
148,Sherlock,33.0,Software Engineer,127159,4
149,Sophia,32.0,Artist,33603,5
150,Sherlock,34.0,Comedian,176943,30
151,Sherlock,60.0,Scientist,135857,4
152,Sherlock,56.0,Software Engineer,118536,4
153,Alice,57.0,Teacher,34825,0
154,Alice,56.0,      Boxer,31088,11
155,Alice,25.0,Artist,32961,5
156,John,48.0,Pilot,51363,0
157,Sophia,25.0,Chef,114069,1
158,Sherlock,47.0,Detective,46895,1
159,Sophia,43.0,Scientist,147010,0
160,Emma,60.0,Doctor,31209,3
161,Rocky,42.0,Artist,150873,6
162,Rocky,46.0,Comedian,128569,5
163,Sophia,55.0,Chef,156286,2
164,Sherlock,43.0,      Boxer,181689,2
165,John,48.0,Teacher,41731,0
166,Emma,50.0,Doctor,88010,4
167,Emma,24.0,Software Engineer,33049,3
168,Mr. Bean,44.0,Comedian,198847,14
169,Emma,50.0,Detective,182970,1
170,John,52.0,Detective,168704,4
171,Mr. Bean,30.0,Teacher,139649,4
172,Rocky,39.0,      Boxer,82214,2
173,Mr. Bean,30.0,Comedian,156748,4
174,John,49.0,Software Engineer,76575,3
175,Sophia,37.0,      Boxer,138005,13
176,Jake,44.0,Software Engineer,56273,0
177,John,35.0,Teacher,48331,5
178,Emma,55.0,Comedian,120344,2
179,Alice,38.0,Chef,196494,4
180,Emma,58.0,Scientist,44918,0
181,Sophia,32.0,Detective,134405,4
182,Sherlock,33.0,Software Engineer,79241,15
183,Olivia,25.0,Teacher,175547,0
184,Mr. Bean,60.0,Pilot,130981,1
185,Olivia,33.0,Pilot,183849,2
186,Liam,60.0,Chef,44743,1
187,Mr. Bean,25.0,Comedian,98444,5
188,Liam,34.0,Software Engineer,128979,3
189,Liam,31.0,Artist,151908,12
190,Olivia,28.0,Pilot,116632,2
191,Sophia,34.0,Artist,112912,3
192,Olivia,44.0,Comedian,181763,1
193,Sherlock,34.0,Chef,47375,2
194,Sophia,60.0,Software Engineer,69353,2
195,Liam,31.0,Software Engineer,158140,5
196,Rocky,46.0,Detective,112641,5
197,Olivia,48.0,      Boxer,157813,1
198,Liam,59.0,Doctor,31945,5
199,Sherlock,37.0,Doctor,103758,2
200,John,30.0,Comedian,142570,38
201,Alice,30.0,      Boxer,78294,2
202,Jake,28.0,Detective,75500,5
203,Rocky,58.0,Scientist,157601,10
204,Emma,38.0,Software Engineer,194615,2
